taxon_id,taxon_name,class
NEONDREX327204,Cosmarium repandum Nordstedt,Chlorophyceae
NEONDREX389000,Gloeocystis gigas (Kützing) Lagerheim,Chlorophyceae
NEONDREX115006,Fallacia omissa (Hustedt) Mann,Bacillariophyceae
NEONDREX52045,Pinnularia microstauron (Ehrenberg) Cleve,Bacillariophyceae
NEONDREX175001,Staurosirella leptostauron (Ehrenberg) Williams et Round,Bacillariophyceae
NEONDREX847009,Geitlerinema sp.,Myxophyceae
NEONDREX2230,Achnanthes ricula Hohn et Hellerman,Bacillariophyceae
AMPHORASPP,Amphora spp.,Bacillariophyceae
BACILLARIOCSPP,Bacillariophyceae spp.,Bacillariophyceae
CENTRALESSP,Centrales sp.,Bacillariophyceae
CHRSP,Chrysococcus sp.,Chrysophyceae
ENCYONEMASPP,Encyonema spp.,Bacillariophyceae
EPITHEMIASPP,Epithemia spp.,Bacillariophyceae
FRAGILARIASPP,Fragilaria spp.,Bacillariophyceae
GOMPHONEMASPP,Gomphonema spp.,Bacillariophyceae
NAVICULASPP,Navicula spp.,Bacillariophyceae
NEONDREX73013,Pseudostaurosira trainorii Morales,Bacillariophyceae
NEONDREX99004,Achnanthidium sp.,Bacillariophyceae
NITZSCHIASPP,Nitzschia spp.,Bacillariophyceae
ULNARIASP,Ulnaria sp.,Bacillariophyceae
AULACOSEIRASPP,Aulacoseira spp.,Bacillariophyceae
EUCMIC,Eucapsis microscopica (Komárková-Legnerová & G.Cronberg) Komárek & Hindák,Myxophyceae
NEONDREX16035,Cocconeis sp.,Bacillariophyceae
NEONDREX34272,Fragilaria rumpens (Kützing) Carlson,Bacillariophyceae
NEONDREX57004,Rhoicosphenia sp.,Bacillariophyceae
ACHNANTHIDIUMSPP,Achnanthidium spp.,Bacillariophyceae
NEONDREX10084,Aulacoseira sp.,Bacillariophyceae
NEONDREX1052002,Chrysochromulina sp.,Prymnesiophyceae
NEONDREX299000,Chlorella sp.,Chlorophyceae
NEONDREX37399,Gomphonema duplipunctatum Lange-Bertalot et Reichardt,Bacillariophyceae
NEONDREX38003,Gyrosigma obtusatum (Sullivant) Boyer,Bacillariophyceae
NEONDREX38030,Gyrosigma sp.,Bacillariophyceae
NEONDREX73006,Pseudostaurosira robusta (Fusey) Williams et Round,Bacillariophyceae
NEONDREX807001,Aphanocapsa sp.,Myxophyceae
NEONDREX808000,Aphanothece sp.,Myxophyceae
CALLAN,Caloneis lancettula (Schulz) Lange-Bertalot & Witkowski,Bacillariophyceae
NEONDREX190001,Cymbopleura cuspidata (Kützing) Krammer,Bacillariophyceae
NEONDREX37062,Gomphonema olivaceoides Hustedt,Bacillariophyceae
NEONDREX446016,Monoraphidium arcuatum (Koršikov) Hindák,NA
NEONDREX53012,Surirella sp.,Bacillariophyceae
NEONDREX58021,Rhopalodia sp.,Bacillariophyceae
PLANKTOLYNGBYASP,Planktolyngbya sp.,Myxophyceae
DIATOMASPP,Diatoma spp.,Bacillariophyceae
NEONDREX38001,Gyrosigma acuminatum (Kützing) Rabenhorst,Bacillariophyceae
NEONDREX446003,Monoraphidium sp.,Chlorophyceae
NEONDREX46017,Navicula difficillima Hustedt,Bacillariophyceae
NEONDREX7161,Amphora sp.,Bacillariophyceae
NEONDREX73011,Pseudostaurosira parasitica var. subconstricta (Grunow) Morales,Bacillariophyceae
CHROOCOCCALESSP,Chroococcales sp.,Myxophyceae
NEONDREX172026,Staurosira sp.,Bacillariophyceae
NEONDREX37005,Gomphonema consector Hohn et Hellerman,Bacillariophyceae
NEONDREX37520,Gomphonema graciledictum Reichardt,NA
NEONDREX48579,Nitzschia bulnheimiana (Rabenhorst) H.L. Smith,Bacillariophyceae
NEONDREX48664,Nitzschia tenuis W. Smith,NA
NEONDREX23083,Cymbella turgidula Grunow,Bacillariophyceae
NEONDREX37314,Gomphonema capitatum Ehrenberg,Bacillariophyceae
NEONDREX58006,Rhopalodia musculus (Kützing) Müller,Bacillariophyceae
NEONDREX170136,Sellaphora crassulexigua (Reichardt) C.E. Wetzel & Ector,Bacillariophyceae
NEONDREX204001,"Adlafia bryophila (Petersen) Moser, Lange-Bertalot et Metzeltin",Bacillariophyceae
NEONDREX245008,Ulnaria delicatissima (W. Smith) Aboal et Silva,Bacillariophyceae
NEONDREX46892,Navicula vilaplanii (Lange-Bertalot et Sabater) Lange-Bertalot et Sabater,Bacillariophyceae
NEONDREX62163,Stauroneis gracilis Ehrenberg,Bacillariophyceae
NEONDREX37203,Gomphonema amoenum Lange-Bertalot,Bacillariophyceae
NEONDREX52151,Pinnularia lundii Hustedt,Bacillariophyceae
NEONDREX52173,Pinnularia subgibba Krammer,Bacillariophyceae
NEONDREX7176,Amphora minutissima W. Smith,Bacillariophyceae
NEONDREX9188004,"Pseudofallacia monoculata (Hustedt) Liu, Kociolek et Wang",NA
NEONDREX46044,Navicula notha Wallace,Bacillariophyceae
NEONDREX155014,Planothidium granum (Hohn et Hellerman) Lange-Bertalot,Bacillariophyceae
NEONDREX30031,Diploneis separanda Lange-Bertalot,Bacillariophyceae
NEONDREX130014,Luticola nivalis (Ehrenberg) Mann,Bacillariophyceae
NEONDREX103180,Pinnularia neomajor Krammer,NA
NEONDREX175037,Staurosirella sp.,Bacillariophyceae
NEONDREX37522,Gomphonema subcapitatum (Grunow) E.Reichardt & Levkov,NA
NEONDREX1772,Nitzschia soratensis Morales et Vis,Bacillariophyceae
NEONDREX21022,Craticula buderi (Hustedt) Lange-Bertalot,Bacillariophyceae
NEONDREX30040,Diploneis sp.,Bacillariophyceae
NEONDREX1145000,Mallomonas sp.,Synurophyceae
NEONDREX37194,Gomphonema pumilum var. rigidum Reichardt et Lange-Bertalot,Bacillariophyceae
NEONDREX543002,Stigeoclonium sp.,Chlorophyceae
NEONDREX327008,Cosmarium impressulum Elfving,Chlorophyceae
NEONDREX10067,Aulacoseira pusilla (Meister) Tuji et Houki,Bacillariophyceae
NEONDREX58005,Rhopalodia gibberula (Ehrenberg) Müller,Bacillariophyceae
NEONDREX9098054,Halamphora oligotraphenta (Lange-Bertalot) Levkov,NA
NEONDREX10012,Aulacoseira lirata (Ehrenberg) Ross,Bacillariophyceae
NEONDREX192008,Fragilariforma virescens (Ralfs) Williams et Round,Bacillariophyceae
NEONDREX212027,Chamaepinnularia sp.,Bacillariophyceae
NEONDREX62112,Stauroneis separanda Lange-Bertalot et Werum,NA
CHLOROPHYTASPP,Chlorophyta spp.,NA
CRYPTOPHYTASP,Cryptophyta sp.,NA
CYCLOTELLASPP,Cyclotella spp.,Bacillariophyceae
LEPNOS,Leptolyngbya nostocorum (Bornet ex Gomont) Anagn. et Komárek,Myxophyceae
MALLOMONASSPP,Mallomonas spp.,Synurophyceae
NEONDREX186030,Psammothidium sp.,Bacillariophyceae
NEONDREX27008,Diatoma moniliformis Kützing,Bacillariophyceae
NEONDREX34264,Fragilaria saxoplanctonica Lange-Bertalot et Ulrich,NA
NEONDREX48276,Nitzschia draveillensis Coste et Ricard,Bacillariophyceae
NEONDREX8034,Anomoeoneis sp.,Bacillariophyceae
PALSP,Palmodictyon sp.,Chlorophyceae
PENNALESSP,Pennales sp.,Bacillariophyceae
PLANOTHIDIUMSPP,Planothidium spp.,Bacillariophyceae
PSEUDOSTAUGSPP,Pseudostaurosira spp.,Bacillariophyceae
STAUROSIRASPP,Staurosira spp.,Bacillariophyceae
ULNARIASPP,Ulnaria spp.,Bacillariophyceae
UNKALG,Unknown Algae,NA
COCCONEISSPP,Cocconeis spp.,Bacillariophyceae
NEONDREX264001,Aphanochaete sp.,Chlorophyceae
CALONEISSPP,Caloneis spp.,Bacillariophyceae
CYANOPHYTASPP,Cyanophyta spp.,NA
EUNOTIASPP,Eunotia spp.,Bacillariophyceae
FRAGRA,Fragilaria gracilis Østrup,Bacillariophyceae
STAUROSIRELLASPP,Staurosirella spp.,Bacillariophyceae
NEONDREX21049,Craticula subminuscula (Manguin) Wetzel et Ector,Bacillariophyceae
ANABAENASPP,Anabaena spp.,Myxophyceae
CHRSPP,Chrysococcus spp.,Chrysophyceae
CYANOPHYTASP,Cyanophyta sp.,NA
CYMBELLASPP,Cymbella spp.,Bacillariophyceae
GOMAUR,Gomphonema auritum A.Braun ex Kützing,Bacillariophyceae
NEONDREX48236,Nitzschia elegantula Grunow,Bacillariophyceae
NEONDREX48656,Nitzschia semirobusta Lange-Bertalot,Bacillariophyceae
NEONDREX1050,Achnanthidium reimeri (Camburn) Ponader et Potapova,Bacillariophyceae
NEONDREX194072,Placoneis sp.,Bacillariophyceae
NEONDREX73012,Pseudostaurosira subsalina (Hustedt) Morales,Bacillariophyceae
NEONDREX73029,Pseudostaurosira sp.,Bacillariophyceae
PHORMIDIUMSPP,Phormidium spp.,Myxophyceae
PINNULARIASPP,Pinnularia spp.,Bacillariophyceae
CRYPTOMONASSPP,Cryptomonas spp.,Cryptophyceae
DIPLONEISSPP,Diploneis spp.,Bacillariophyceae
EUGLENASPP,Euglena spp.,Euglenophyceae
NEONDREX37278,Gomphonema lagenula Kützing,Bacillariophyceae
NEONDREX863005,Leptolyngbya lagerheimii (Gomont) Anagnostidis et Komárek,Myxophyceae
NEONDREX93229,Navicula escambia (Patrick) Metzeltin et Lange-Bertalot,Bacillariophyceae
NITANG,Nitzschia angustiforaminata Lange-Bertalot,Bacillariophyceae
PSESPP,Pseudokephyrion spp.,Chrysophyceae
SELLAPHORASPP,Sellaphora spp.,Bacillariophyceae
SELQUE,"Sellaphora queretana D.Mora, N.Abarca & J.Carmona",Bacillariophyceae
STATAC,Staurophora tackei (Hustedt) Bahls,Bacillariophyceae
SURIRELLASPP,Surirella spp.,Bacillariophyceae
CHROOMONASSPP,Chroomonas spp.,Cryptophyceae
LEPGRA,Leptolyngbya granulifera (Copel.) Anagn.,Myxophyceae
NEONDREX204003,Adlafia minuscula var. muralis (Grunow) Lange-Bertalot,Bacillariophyceae
NEONDREX814002,Calothrix sp.,Myxophyceae
NITORE,Nitzschia oregona Sovereign,Bacillariophyceae
STACIR,Stauroneis circumborealis Lange-Bertalot and Krammer,Bacillariophyceae
SCENEDESMUSSPP,Scenedesmus spp.,Chlorophyceae
HETEROLEIBGSPP,Heteroleibleinia spp.,Myxophyceae
NEONDREX47007,Neidium bisulcatum (Lagerstedt) Cleve,Bacillariophyceae
NEONDREX510010,Scenedesmus sp.,Chlorophyceae
NEONDREX867005,Limnothrix sp.,Myxophyceae
APHANOCAPSASPP,Aphanocapsa spp.,Myxophyceae
NEONDREX212005,Chamaepinnularia mediocris (Krasske) Lange-Bertalot,Bacillariophyceae
DESCOM,Desmodesmus communis (E.Hegewald) E.Hegewald,Chlorophyceae
NEONDREX9193018,"Humidophila contenta (Grunow) Lowe, Kociolek, Johansen, Van de Vijver, Lange-Bertalot et Kopalová",NA
NEONDREX932002,Komvophoron sp.,Myxophyceae
STATET,Stauridium tetras (Ehrenberg) E.Hegewald,Chlorophyceae
NEIDIUMSPP,Neidium spp.,Bacillariophyceae
NEONDREX12023,Caloneis amphisbaena (Bory) Cleve,Bacillariophyceae
NEONDREX32026,Epithemia sp.,Bacillariophyceae
NEONDREX553002,Tetraedron minimum (A.Braun) Hansgirg,Chlorophyceae
RHOPALODIASPP,Rhopalodia spp.,Bacillariophyceae
DESSP1,Desmodesmus sp.,Chlorophyceae
NEONDREX20095,Cyclotella sp.,Bacillariophyceae
CYADIA,"Cyanobium diatomicola (Geitler) Komárek, J.Kopecký & Cepák",Myxophyceae
HOMOEOTHRIXSPP,Homoeothrix spp.,Myxophyceae
NEONDREX1284001,"Plagioselmis nannoplanctica (Skuja) Novarino, Lucas et Morrall",Cryptophyceae
NEONDREX458004,Oocystis sp.,Chlorophyceae
NEONDREX48038,Nitzschia fonticola Grunow,Bacillariophyceae
PSEUDANABAENASPP,Pseudanabaena spp.,Myxophyceae
CoelomoronSP,Coelomoron sp.,NA
NEONDREX1158000,Ochromonas sp.,Chrysophyceae
NEONDREX818003,Chlorogloea sp.,Myxophyceae
NEONLIEBETRUTHII,Nitzschia liebetruthii,Bacillariophyceae
HOMOEOTHRIXSP,Homoeothrix sp.,Myxophyceae
LEPTOLYNGBYASPP,Leptolyngbya spp.,Myxophyceae
NEONDREX155046,Planothidium sp.,Bacillariophyceae
NEONDREX23048,Cymbella aspera (Ehrenberg) Cleve,Bacillariophyceae
NEONDREX48099,Nitzschia dissipata var. media (Hantzsch) Grunow,Bacillariophyceae
NEONDREX891005,Planktothrix sp.,Myxophyceae
NEONDREX914002,Synechococcus sp.,Myxophyceae
NOSTOCALESSP,Nostocales sp.,Myxophyceae
CENTRALESSPP,Centrales spp.,Bacillariophyceae
PENNALESSPP,Pennales spp.,Bacillariophyceae
NEONDREX22008,Cymatopleura sp.,Bacillariophyceae
NEONDREX34210,Fragilaria radians (Kützing) Williams et Round,Bacillariophyceae
NEONDREX51001,Peronia fibula (Brébisson ex Kützing) Ross,Bacillariophyceae
NEONDREX52043,Pinnularia mesolepta (Ehrenberg) Smith,Bacillariophyceae
PLACONEISSPP,Placoneis spp.,Bacillariophyceae
DESABU,Desmodesmus abundans (Kirchner) E.H.Hegewald,Chlorophyceae
NEONDREX115038,Fallacia sp.,Bacillariophyceae
NEONDREX1261002,Chroomonas sp.,Cryptophyceae
NEONDREX8942002,"Eolimna adnata (Hustedt) Moser, Lange-Bertalot et Metzeltin",Bacillariophyceae
SPHSP1,Sphaerellopsis sp.,Chlorophyceae
NEONDREX18005,Brachysira brebissonii Ross,Bacillariophyceae
NEONDREX282000,Bulbochaete sp.,Chlorophyceae
NEONDREX327028,Cosmarium protractum (Nägeli) deBary,Chlorophyceae
NEONDREX327085,Cosmarium amoenum (Brébisson) Ralfs,Chlorophyceae
NEONDREX33026,Eunotia incisa Smith ex Gregory,Bacillariophyceae
NEONDREX33035,Eunotia monodon Ehrenberg,Bacillariophyceae
NEONDREX33051,Eunotia rhomboidea Hustedt,Bacillariophyceae
NEONDREX33059,Eunotia sudetica Müller,Bacillariophyceae
NEONDREX33066,Eunotia intermedia (Krasske ex Hustedt) Nörpel et Lange-Bertalot,Bacillariophyceae
NEONDREX33245,"Eunotia subarcuatoides Alles, Nörpel et Lange-Bertalot",Bacillariophyceae
NEONDREX35024,Frustulia crassinervia (Brébisson) Lange-Bertalot et Krammer,Bacillariophyceae
NEONDREX35039,Frustulia krammeri Lange-Bertalot et Metzeltin,Bacillariophyceae
NEONDREX404000,Groenbladia neglecta var. elongata Scott et Grönblad,Chlorophyceae
NEONDREX438021,Micrasterias arcuata Bailey,Chlorophyceae
NEONDREX481007,Pleurotaenium minutum (Ralfs) Delponte,Chlorophyceae
NEONDREX52048,Pinnularia nodosa (Ehrenberg) Smith,Bacillariophyceae
NEONDREX549001,Tetmemorus brebissonii (Meneghini) Ralfs,Chlorophyceae
NEONDREX580001,Xanthidium antilopaeum (Brébisson) Kützing,Chlorophyceae
NEONDREX582000,Zygnema sp.,Chlorophyceae
NEONDREX63007,Stenopterobia delicatissima (Lewis) Van Heurck,Bacillariophyceae
NEONDREX33007,Eunotia carolina Patrick,Bacillariophyceae
NEONDREX438022,Micrasterias arcuata var. expansa (Bailey) Nordstedt,Chlorophyceae
NEONDREX549003,Tetmemorus brebissonii var. minor deBary,Chlorophyceae
NEONDREX273003,Bambusina borreri (Ralfs) Cleve,Chlorophyceae
NEONDREX33004,Eunotia bidentula Smith,Bacillariophyceae
NEONDREX33083,Eunotia paludosa Grunow,Bacillariophyceae
NEONDREX33103,Eunotia pirla Carter et Flower,Bacillariophyceae
NEONDREX52013,Pinnularia borealis Ehrenberg,Bacillariophyceae
NEONDREX9001,Asterionella formosa Hassall,Bacillariophyceae
ACTINELLASP,Actinella sp.,Bacillariophyceae
NEONDREX10038,Aulacoseira herzogii (Lemmermann) Simonsen,Bacillariophyceae
NEONDREX1202001,Stipitococcus sp.,Tribophyceae
NEONDREX316005,Closterium dianae Ehrenberg,Chlorophyceae
NEONDREX327062,Cosmarium regnellii Wille,Chlorophyceae
NEONDREX400006,Gonatozygon pilosum Wolle,Chlorophyceae
NEONDREX47082,Neidium binodeforme Krammer,Bacillariophyceae
NEONDREX538129,Staurastrum distentum Wolle,Chlorophyceae
NEONDREX33060,Eunotia tenella (Grunow) Hustedt,Bacillariophyceae
NEONDREX33242,Eunotia nymanniana Grunow,Bacillariophyceae
NEONDREX379026,Euastrum validum W. West et G.S. West,Chlorophyceae
NEONDREX273001,Bambusina sp.,Chlorophyceae
NEONDREX327022,Cosmarium angulosum Brébisson,Chlorophyceae
NEONDREX327031,Cosmarium microsphinctum Nordstedt,Chlorophyceae
NEONDREX35007,Frustulia pseudomagaliesmontana Camburn et Charles,Bacillariophyceae
NEONDREX35025,Frustulia saxonica Rabenhorst,Bacillariophyceae
NEONDREX379032,Euastrum intermedium Cleve,Chlorophyceae
NEONDREX500000,Quadrigula lacustris (Tanner-Fullman) G. M. Smith,Chlorophyceae
NEONDREX538064,Staurastrum bieneanum var. ellipticum Wille,Chlorophyceae
NEONDREX538098,Staurastrum hystrix Ralfs,Chlorophyceae
NEONDREX567000,Triploceras gracile Bailey,Chlorophyceae
NEONDREX820014,Chroococcus minor (Kützing) Nägeli,Myxophyceae
NEONDREX849001,Hapalosiphon sp.,Myxophyceae
NEONDREX327100,Cosmarium contractum var. minutum (Delponte) W. West et G.S. West,Chlorophyceae
NEONDREX327121,Cosmarium pseudopyramidatum Lundell,Chlorophyceae
NEONDREX379004,Euastrum denticulatum (Kirchner) Gay,Chlorophyceae
NEONDREX418000,Hyalotheca dissiliens (Smith) Brébisson ex Ralfs,Chlorophyceae
NEONDREX450003,Netrium digitus (Ehrenberg) Itzigson et Rothe,Chlorophyceae
NEONDREX327048,Cosmarium ornatum Ralfs,Chlorophyceae
NEONDREX379020,Euastrum sinuosum Lenormand,Chlorophyceae
NEONDREX438011,Micrasterias truncata var. pusilla G.S. West,Chlorophyceae
NEONDREX538110,Staurastrum excavatum W. West et G.S. West,Chlorophyceae
NEONDREX1334001,Ceratium carolinianum Jørgensen,Dinophyceae
NEONDREX1457002,Peridinium sp.,Dinophyceae
NEONDREX327011,Cosmarium punctulatum Brébisson,Chlorophyceae
NEONDREX327063,Cosmarium bireme Nordstedt,Chlorophyceae
NEONDREX379006,Euastrum sp.,Chlorophyceae
NEONDREX528002,Sphaerocystis sp.,Chlorophyceae
NEONDREX537001,Staurodesmus incus (Brébisson) Teiling,Chlorophyceae
NEONDREX33056,Eunotia soleirolii (Kützing) Rabenhorst,Bacillariophyceae
NEONDREX35055,Frustulia sp.,Bacillariophyceae
NEONDREX367000,Elakatothrix gelatinosa Wille,Chlorophyceae
NEONDREX18013,Brachysira microcephala (Kützing) Compère,Bacillariophyceae
NEONDREX1137001,Lagynion sp.,Chrysophyceae
NEONDREX1457014,Peridinium aciculiferum Lemmermann,Dinophyceae
NEONDREX35060,Frustulia rexii Graeff et Kociolek,Bacillariophyceae
NEONDREX538045,Staurastrum micron W. West et G.S. West,Chlorophyceae
NEONDREX538138,Staurastrum inconspicuum Nordstedt,NA
NEONDREX580007,Xanthidium cristatum Brébisson ex Ralfs,Chlorophyceae
NEONDREX212034,Chamaepinnularia rhombelliptica Lange-Bertalot,Bacillariophyceae
NEONDREX538039,Staurastrum curvatum W. West,NA
NEONDREX1110001,Dinobryon cylindricum Imhof,Chrysophyceae
NEONDREX1110015,Dinobryon eurystoma (Bailey) West & West,Chrysophyceae
NEONDREX327149,Cosmarium transitorium (Heimerl) Ducellier,Chlorophyceae
NEONDREX379002,Euastrum insulare (Wittrock) Roy,Chlorophyceae
NEONDREX379005,Euastrum elegans Kützing,Chlorophyceae
NEONDREX404003,Groenbladia taylorii Scott & Grönblad,Chlorophyceae
NEONDREX538139,Staurastrum concinnum West & West,NA
NEONDREX33138,Eunotia monodon var. constricta Hustedt,Bacillariophyceae
NEONDREX481017,Pleurotaenium sceptrum West & West,Chlorophyceae
NEONDREX538016,Staurastrum margaritaceum (Ehrenberg) Meneghini,Chlorophyceae
NEONDREX538105,Staurastrum elongatum Barker,Chlorophyceae
NEONDREX910006,Stigonema occellatum Thuret,Myxophyceae
NEONDREX1110002,Dinobryon sp.,Chrysophyceae
NEONDREX379012,Euastrum binale (Turpin) Ehrenberg,Chlorophyceae
NEONDREX1110006,Dinobryon crenulatum W. West et G.S. West,Chrysophyceae
NEONDREX1205000,Synura sp.,Synurophyceae
NEONDREX18043,Brachysira sp.,Bacillariophyceae
NEONDREX820003,Chroococcus dispersus (Keissler) Lemmermann,Myxophyceae
NEONDREX945000,Woronichinia sp.,Myxophyceae
NEONDREX23068,Cymbella tumida (Brébisson ex Kützing) Van Heurck,Bacillariophyceae
NEONDREX316010,Closterium gracile Brébisson,Chlorophyceae
NEONDREX52037,Pinnularia legumen Ehrenberg,Bacillariophyceae
NEONDREX67004,Tabellaria flocculosa (Roth) Kützing,Bacillariophyceae
NEONDREX341008,Desmidium grevellii (Kützing) deBary,Chlorophyceae
NEONDREX1110007,Dinobryon divergens Imhof,Chrysophyceae
NEONDREX327029,Cosmarium contractum Kirchner,Chlorophyceae
NEONDREX33253,Eunotia yanomami Metzeltin et Lange-Bertalot,Bacillariophyceae
NEONDREX9002,Asterionella ralfsii var. americana Körner,Bacillariophyceae
NEONDREX537006,Staurodesmus extensus (Borge) Teiling,Chlorophyceae
NEONDREX327091,Cosmarium asphaerosporum var. strigosum Nordstedt,Chlorophyceae
NEONDREX327195,Cosmarium subcucumis Schmidle,Chlorophyceae
NEONDREX379000,Euastrum pulchellum Brébisson,Chlorophyceae
NEONDREX47011,Neidium dubium (Ehrenberg) Cleve,Bacillariophyceae
NEONDREX538070,Staurastrum leptocladum Nordstedt,Chlorophyceae
NEONDREX65019,Surirella robusta Ehrenberg,Bacillariophyceae
NEONDREX327188,Cosmarium venustum (Brébisson) Archer,Chlorophyceae
NEONDREX379027,Euastrum crassum (Brébisson) Ralfs,Chlorophyceae
NEONDREX46023,Navicula gregaria Donkin,Bacillariophyceae
NEONDREX538002,Staurastrum sp.,Chlorophyceae
NEONDREX820002,Chroococcus prescottii Drouet et Daily,Myxophyceae
NEONDREX35036,Frustulia amphipleuroides (Grunow) Cleve-Euler,Bacillariophyceae
NEONDREX52038,Pinnularia maior (Kützing) Rabenhorst,Bacillariophyceae
NEONDREX910000,Stigonema sp.,Myxophyceae
NEONDREX536000,Spondylosium sp.,Chlorophyceae
NEONDREX538047,Staurastrum pentacerum Smith,Chlorophyceae
NEONDREX327068,Cosmarium garrolense Roy et Bissett,Chlorophyceae
NEONDREX1057,Achnanthidium jackii Rabenhorst,Bacillariophyceae
NEONDREX327235,Cosmarium pseudotaxichondrum Nordstedt,Chlorophyceae
NEONDREX47500,Neidium sp.,Bacillariophyceae
NEONDREX470002,Penium sp.,Chlorophyceae
NEONDREX256008,Actinotaenium cucurbitinum f. minus (W. West et G.S. West) Teiling,Chlorophyceae
NEONDREX327243,Cosmarium abbreviatum var. minus (West et West) Krieger et Gerlof,Chlorophyceae
NEONDREX33428,Eunotia pienitzii Lange-Bertalot,Bacillariophyceae
NEONDREX875007,Merismopedia trolleri Bachmann,Myxophyceae
NEONDREX256013,Actinotaenium cucurbita (Brébisson ex Ralfs) Teiling,Chlorophyceae
NEONDREX33172,Eunotia faba (Ehrenberg) Grunow,Bacillariophyceae
NEONDREX33368,Eunotia romanowi Siver,Bacillariophyceae
NEONDREX65014,Surirella linearis Smith,Bacillariophyceae
NEONDREX537008,"Staurodesmus octocornis (Ehrenberg ex Ralfs) Stastny, Skaloud et Neustupa",Chlorophyceae
NEONDREX341001,Desmidium baileyii (Ralfs) Nordstedt,Chlorophyceae
NEONDREX538028,Staurastrum cornutum Archer,Chlorophyceae
NEONDREX538135,Staurastrum pseudobacillare Grönblad,Chlorophyceae
NEONDREX538136,Staurastrum simonyi Scott & Grönblad,Chlorophyceae
NEONDREX549004,Tetmemorus granulatus (Brébisson) Ralfs,Chlorophyceae
NEONDREX55002,Reimeria sinuata (Gregory) Kociolek et Stoermer,Bacillariophyceae
NEONDREX806008,Aphanizomenon sp.,Myxophyceae
NEONDREX92023,Nupela neotropica Lange-Bertalot,Bacillariophyceae
NEONDREX256000,Actinotaenium cucurbitinum (Bissett) Teiling,Chlorophyceae
NEONDREX538004,Staurastrum orbiculare (Ehrenberg) Ralfs,Chlorophyceae
NEONDREX327247,Cosmarium venustum f. minus Wille,Chlorophyceae
NEONDREX332004,Cylindrocystis sp.,Chlorophyceae
NEONDREX481001,Pleurotaenium sp.,Chlorophyceae
NEONDREX538132,Staurastrum glaphyrum var. denticulatum Scott & Grönblad,Chlorophyceae
NEONDREX1457006,Peridinium limbatum Lemmermann,Dinophyceae
NEONDREX21016,Craticula riparia (Hustedt) Lange-Bertalot,Bacillariophyceae
NEONDREX47079,Neidium densestriatum (Østrup) Krammer,Bacillariophyceae
NEONDREX65005,Surirella biseriata Brébisson,Bacillariophyceae
NEONCURVATUM,Staurastrum curvatum,Chlorophyceae
NEONDREX186014,Psammothidium lacus-vulcani (Lange-Bertalot et Krammer) Bukhtiyarova,Bacillariophyceae
NEONDREX212003,Chamaepinnularia evanida (Hustedt) Lange-Bertalot,Bacillariophyceae
NEONDREX538141,Staurastrum lanceolatum Archer,Chlorophyceae
NEONDREX470007,Penium polymorphum Perty,Chlorophyceae
NEONDREX327245,Cosmarium angulosum f. rotundatum Irénée-Marie,Chlorophyceae
NEONDREX110045,Encyonema neogracile Krammer,Bacillariophyceae
NEONDREX379042,Euastrum cuspidatum Wolle,Chlorophyceae
NEONDREX538131,Staurastrum diacanthum var. evolutum Scott & Grönblad,Chlorophyceae
NEONDREX538145,Staurastrum octoverrucosum var. simplicius Scott & Grönblad,Chlorophyceae
NEONDREX538148,Staurastrum connatum (Lundell) Roy et Bissett,Chlorophyceae
NEONDREX256004,Actinotaenium cucurbita f. rotundatum (Krieger) Teiling,Chlorophyceae
NEONDREX33361,Eunotia eurycephala (Grunow) Nörpel-Schempp et Lange-Bertalot,NA
NEONDREX537009,Staurodesmus triangularis (Lagerheim) Teiling,Chlorophyceae
NEONDREX875003,Merismopedia glauca (Ehrenberg) Kützing,Myxophyceae
CHRYSOPHYCEAESP,Chrysophyceae sp.,Chrysophyceae
NEONDREX536005,Spondylosium secedens (deBary) Archer,Chlorophyceae
NEONDREX538032,Staurastrum natator W. West,Chlorophyceae
NEONDREX538033,Staurastrum gracile Ralfs,Chlorophyceae
NEONDREX538127,Staurastrum pinnatum Turner,Chlorophyceae
NEONDREX538133,Staurastrum iotanum Wolle,NA
NEONDREX580003,Xanthidium sp.,Chlorophyceae
NEONDREX1110011,Dinobryon eurystoma (Stokes) Lemmermann,NA
NEONDREX327074,Cosmarium phaseolus f. minus Boldt,Chlorophyceae
NEONDREX438028,Micrasterias arcuata var. gracilis (Bailey) West & West,NA
CHRYSOPHYTASP,Chrysophyta sp.,NA
NEONDREX1110005,Dinobryon bavaricum Imhof,Chrysophyceae
NEONDREX20011,Cyclotella striata (Kützing) Grunow,Bacillariophyceae
NEONDREX21005,Craticula halophila (Grunow ex Van Heurck) Mann,Bacillariophyceae
NEONDREX367001,Elakatothrix viridis (Snow) Printz,Chlorophyceae
NEONDREX405001,Gonyostomum semen (Ehrenberg) Diesing,Raphidophyceae
NEONDREX424000,Kirchneriella sp.,Chlorophyceae
NEONDREX47034,Neidium apiculatum Reimer,Bacillariophyceae
NEONDREX517002,Schroederia sp.,Chlorophyceae
NEONDREX546001,Teilingia granulata (Roy et Bissett) Bourrelly,Chlorophyceae
NEONDREX553007,Tetraedron sp.,Chlorophyceae
NEONDREX86002,Actinocyclus normanii (Gregory) Hustedt,Bacillariophyceae
NEONDREX1110016,Dinobryon pediforme (Lemmermann) Steinecke,NA
NEONDREX199001,Kobayasiella subtilissima (Cleve) Lange-Bertalot,Bacillariophyceae
