taxon_id,taxon_name,class
NEONDREX510007,Scenedesmus bicaudatus (Hansgirg) Chodat,Chlorophyceae
NEONDREX7075,Amphora copulata (Kützing) Schoeman et Archibald,Bacillariophyceae
NEONDREX860004,Lyngbya martensiana Meneghini ex Gomont,Myxophyceae
NEONDREX990000,Phacus sp.,Euglenophyceae
NEONDREX110004,Encyonema minutum (Hilse) Mann,Bacillariophyceae
NEONDREX170014,Sellaphora seminulum (Grunow) Mann,Bacillariophyceae
NEONDREX188001,Lemnicola hungarica (Grunow) Round et Basson,Bacillariophyceae
NEONDREX33362,Eunotia sp.,Bacillariophyceae
NEONDREX37001,Gomphonema acuminatum Ehrenberg,Bacillariophyceae
NEONDREX37003,Gomphonema angustatum (Kützing) Rabenhorst,Bacillariophyceae
NEONDREX37156,Gomphonema insigne Gregory,Bacillariophyceae
NEONDREX37178,Gomphonema minutum (Agardh) Agardh,Bacillariophyceae
NEONDREX45001,Meridion circulare (Greville) Agardh,Bacillariophyceae
NEONDREX46014,Navicula cryptocephala Kützing,Bacillariophyceae
NEONDREX46527,Navicula cryptotenella Lange-Bertalot,Bacillariophyceae
NEONDREX46774,Navicula trivialis Lange-Bertalot,Bacillariophyceae
NEONDREX48002,Nitzschia acicularis (Kützing) Smith,Bacillariophyceae
NEONDREX48006,Nitzschia capitellata Hustedt,Bacillariophyceae
NEONDREX48015,Nitzschia gracilis Hantzsch,Bacillariophyceae
NEONDREX48029,Nitzschia recta Hantzsch ex Rabenhorst,Bacillariophyceae
NEONDREX48284,Nitzschia radicula Hustedt,Bacillariophyceae
NEONDREX48347,Nitzschia acidoclinata Lange-Bertalot,Bacillariophyceae
NEONDREX48383,Nitzschia fossilis (Grunow) Grunow,Bacillariophyceae
NEONDREX1212000,Tribonema sp.,Tribophyceae
NEONDREX37065,Gomphonema olivaceum (Lyngbye) Kützing,Bacillariophyceae
NEONDREX37473,Gomphonema sp.,Bacillariophyceae
NEONDREX46648,Navicula erifuga Lange-Bertalot,Bacillariophyceae
NEONDREX467002,Pediastrum tetras (Ehrenberg) Ralfs,Chlorophyceae
NEONDREX48045,Nitzschia tropica Hustedt,Bacillariophyceae
NEONDREX48119,Nitzschia graciliformis Lange-Bertalot et Simonsen,Bacillariophyceae
NEONDREX510002,Scenedesmus ecornis (Ralfs) Chodat,Chlorophyceae
NEONDREX52159,Pinnularia gibba (Ehrenberg) Ehrenberg,Bacillariophyceae
NEONDREX57002,Rhoicosphenia abbreviata (Agardh) Lange-Bertalot,Bacillariophyceae
NEONDREX73010,Pseudostaurosira parasitica (Smith) Morales,Bacillariophyceae
NEONDREX12001,Caloneis bacillum (Grunow) Cleve,Bacillariophyceae
NEONDREX1212002,Tribonema bombycinum (Agardh) Derbes et Solier,Tribophyceae
NEONDREX186004,Psammothidium lauenburgianum (Hustedt) Bukhtiyarova et Round,Bacillariophyceae
NEONDREX194005,Placoneis elginensis (Gregory) Cox,Bacillariophyceae
NEONDREX441014,Microspora amoena var. crassior (Kützing) Hansgirg,Chlorophyceae
NEONDREX467013,Pediastrum duplex var. clathratum (Braun) Lagerheim,Chlorophyceae
NEONDREX48417,Nitzschia archibaldii Lange-Bertalot,Bacillariophyceae
NEONDREX510003,Scenedesmus acutus Meyen,Chlorophyceae
NEONDREX7043,Amphora pediculus (Kützing) Grunow,Bacillariophyceae
NEONDREX885004,Nostoc sp.,Myxophyceae
NEONDREX155018,Planothidium rostratum (Østrup) Lange-Bertalot,Bacillariophyceae
NEONDREX186002,Psammothidium grischunum f. daonensis (Lange-Bertalot) Bukhtiyarova and Round,Bacillariophyceae
NEONDREX211006,Mayamaea excelsa (Krasske) Lange-Bertalot,Bacillariophyceae
NEONDREX25001,Denticula elegans Kützing,Bacillariophyceae
NEONDREX25005,Denticula valida (Pedicino) Grunow,Bacillariophyceae
NEONDREX37197,Gomphonema kobayasii Kociolek et Kingston,Bacillariophyceae
NEONDREX48024,Nitzschia microcephala Grunow,Bacillariophyceae
NEONDREX538005,Staurastrum punctulatum Brébisson,Chlorophyceae
NEONDREX970000,Euglena sp.,Euglenophyceae
NEONDREX995007,Trachelomonas hispida (Perty) Stein emend. Deflandre,Euglenophyceae
NEONDREX995009,Trachelomonas volvocina Ehrenberg,Euglenophyceae
NEONDREX204002,Adlafia minuscula (Grunow) Lange-Bertalot,Bacillariophyceae
NEONDREX30004,Diploneis oblongella (Nägeli ex Kützing) Ross,Bacillariophyceae
NEONDREX34030,Fragilaria vaucheriae (Kützing) Petersen,Bacillariophyceae
NEONDREX34105,Fragilaria tenera (Smith) Lange-Bertalot,Bacillariophyceae
NEONDREX46401,Navicula tenelloides Hustedt,Bacillariophyceae
NEONDREX46749,Navicula cryptotenelloides Lange-Bertalot,Bacillariophyceae
NEONDREX890025,Phormidium sp.,Myxophyceae
NEONDREX9098013,Halamphora veneta (Kützing) Levkov,Bacillariophyceae
NEONDREX995092,Trachelomonas hispida var. duplex Deflandre,Euglenophyceae
MYXOPHYCEAESP,Myxophyceae sp.,Myxophyceae
NEONDREX46324,Navicula cincta (Ehrenberg) Ralfs,Bacillariophyceae
NEONDREX46542,Navicula libonensis Schoeman,Bacillariophyceae
NEONDREX52058,Pinnularia stomatophora (Grunow) Cleve,Bacillariophyceae
NEONDREX62015,Stauroneis phoenicenteron (Nitzsch) Ehrenberg,Bacillariophyceae
NEONDREX863016,Leptolyngbya sp.,Myxophyceae
NEONDREX23005,Cymbella cistula (Ehrenberg) Kirchner,Bacillariophyceae
NEONDREX264000,Aphanochaete repens Braun,Chlorophyceae
NEONDREX298000,Chlamydomonas sp.,Chlorophyceae
NEONDREX309000,Cladophora glomerata (Linnaeus) Kützing,Chlorophyceae
NEONDREX52071,Pinnularia viridis (Nitzsch) Ehrenberg,Bacillariophyceae
NEONDREX58018,Rhopalodia constricta (Smith) Krammer,Bacillariophyceae
NEONDREX37084,Gomphonema brebissonii Kützing,Bacillariophyceae
NEONDREX441003,Microspora sp.,Chlorophyceae
NEONDREX65048,Surirella minuta Brébisson,Bacillariophyceae
NEONDREX1160009,Ophiocytium parvulum Braun,Tribophyceae
NEONDREX23814,Cymbella subturgidula Krammer,Bacillariophyceae
NEONDREX261000,Ankistrodesmus falcatus (Corda) Ralfs,Chlorophyceae
NEONDREX444000,Mougeotia sp.,Chlorophyceae
NEONDREX46169,Navicula cari Ehrenberg,Bacillariophyceae
NEONDREX48157,Nitzschia linearis var. tenuis (Smith) Grunow,Bacillariophyceae
NEONDREX828002,Cylindrospermum sp.,Myxophyceae
NEONDREX893002,Pleurocapsa minor Hansgirg,Myxophyceae
NEONDREX48027,Nitzschia pumila Hustedt,Bacillariophyceae
NEONDREX48425,Nitzschia liebetruthii var. major Grunow,Bacillariophyceae
NEONDREX125001,Karayevia clevei (Grunow) Bukhtiyarova,Bacillariophyceae
NEONDREX155010,Planothidium robustum (Hustedt) Lange-Bertalot,Bacillariophyceae
NEONDREX192001,Fragilariforma bicapitata (Mayer) Williams et Round,Bacillariophyceae
NEONDREX25004,Denticula subtilis Grunow,Bacillariophyceae
NEONDREX2508001,Platessa conspicua (Mayer) Lange-Bertalot,Bacillariophyceae
NEONDREX46269,Navicula kotschyi Grunow,Bacillariophyceae
NEONDREX46390,Navicula salinicola Hustedt,Bacillariophyceae
NEONDREX510005,Scenedesmus spinosus Chodat,Chlorophyceae
NEONDREX890046,Phormidium formosum (Bory ex Gomont) Anagnostidis et Komárek,Myxophyceae
NEONDREX995061,Trachelomonas lemmermannii Woloszynska emend Deflandre,Euglenophyceae
NEONDREX210003,Geissleria decussis (Østrup) Lange-Bertalot et Metzeltin,Bacillariophyceae
NEONDREX33168,"Eunotia implicata Nörpel, Alles et Lange-Bertalot",Bacillariophyceae
NEONDREX441005,Microspora tumidula Hazen,Chlorophyceae
NEONDREX172001,Staurosira construens Ehrenberg,Bacillariophyceae
NEONDREX30014,Diploneis parma Cleve,Bacillariophyceae
NEONDREX48225,Nitzschia sociabilis Hustedt,Bacillariophyceae
NEONDREX52194,Pinnularia interrupta Smith,Bacillariophyceae
NEONDREX170107,Sellaphora sp.,Bacillariophyceae
NEONDREX350000,Dictyosphaerium ehrenbergianum Nägeli,Chlorophyceae
NEONDREX37310,Gomphonema exilissimum (Grunow) Lange-Bertalot et Reichardt,Bacillariophyceae
NEONDREX990002,Phacus orbicularis Hübner emend. Zakrys et Kosmala,Euglenophyceae
NEONDREX211010,Mayamaea permitis (Hustedt) Bruder et Medlin,Bacillariophyceae
